id,prediction,stock
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
123,2,1
456,1,3
